MOTOR,Company,Max Thrust,Recommended ESC,Recommended Propeller,LINK - Motor ,LINK - ESC,LINK - Propeller
Emax ES3059MD 12g metal digital actuator for RC model and robot PWM actuator,Emax,,,,https://emaxmodel.com/products/emax-es3059md-12g-metal-digital-actuator-for-rc-model-and-robot-pwm-actuator,,
EMAX ECOIII series 2807 3-6S 1300KV  1500KV 1700KV brushless motor,Emax,,,,https://emaxmodel.com/products/eamx-ecoiii-series-2807-3-6s-1300kv-1500kv-1700kv-brushless-motor-drone-motor-accessories,,
Emax ECOII3115 400KV / 500KV / 640KV / 800KV / 900KV Brushless Motor for FPV Racing Drone,Emax,,,,https://emaxmodel.com/products/emax-ecoii3115-400kv-500kv-640kv-800kv-900kv-brushless-motor-for-fpv-racing-drone,,
Emax ECOII 3515 450KV / 550KV / 650KV / 880KV Brushless Motor for FPV Racing Drone,Emax,,,,https://emaxmodel.com/products/emax-ecoii-3515-450kv-550kv-650kv-880kv-brushless-motor-for-fpv-racing-drone,,
EMAX ECOIII series 2207 3-6S 1700KV 1900KV 2400KV brushless motor,Emax,,,,https://emaxmodel.com/products/eamx-ecoiii-series-2207-3-6s-1700kv-1900kv-2400kv-brushless-motor-drone-motor-accessories,,
Emax RSIII 2207 FPV Racing motor w/ 1800KV 2100KV 2500KV,Emax,,,,https://emaxmodel.com/products/emax-rsiii-2207-fpv-racing-motor,,
EMAX Pro Series 2814 Brushless Motor,Emax,,,,https://emaxmodel.com/products/emax-pro-series-2814-brushless-motor,,
emax,EMAX,,,,https://emax-usa.com/collections/brushless-motors,,
EMAX Tinyhawk Lite Spare Parts -0816 2CW 2CCW Motor Set,Emax,,,,https://emaxmodel.com/products/emax-tinyhawk-lite-spare-parts-0816-2cw-2ccw-motor-set,,
EMAX Tinyhawk Lite Spare Parts Pack-Prop 40MM 3-Blade 4CW+4CCW,Emax,,,40MM 3-Blade,https://emaxmodel.com/products/emax-tinyhawk-lite-spare-parts-camera,,
EMAX Tinyhawk Lite Spare Parts -AIO Flight Controller,Emax,,,,https://emaxmodel.com/products/emax-tinyhawk-lite-spare-parts-aio-flight-controller,,
EMAX Tinyhawk Lite Spare Parts -Hardware Kit,Emax,,,,https://emaxmodel.com/products/emax-tinyhawk-lite-spare-parts-hardware-kit-1,,
EMAX ECOII 4720 Brushless Motor 6-12S 290KV 380KV Motor,Emax,,,,https://emaxmodel.com/products/emax-ecoii-4720-brushless-motor-6-12s-290kv-380kv-motor,,
EMAX ECOII 4215 Brushless Motor 6-12S 350KV 420KV 520KV 660KV Motor,Emax,,,,https://emaxmodel.com/products/emax-ecoii-4215-brushless-motor-6-12s-350kv-420kv-520kv-660kv-motor,,
Emax Tinyhawk Nanoscout HDZero BNF 65mm 08015 Motor 5 in 1 AIO FPV Racing Drone 2.4G ELRS,Emax,,,,https://emaxmodel.com/products/emax-tinyhawk-nanoscout-hdzero-bnf-65mm-08015-motor-5-in-1-aio-fpv-racing-drone-2-4g-elrs,,
