Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (C)
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,30%,0.82,13.0,171.0,4055.0,13.06,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,35%,1.2,19.0,227.0,4653.0,11.85,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,40%,1.66,26.0,287.0,5212.0,10.83,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,45%,2.25,36.0,357.0,5801.0,9.94,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,50%,2.92,47.0,427.0,6329.0,9.17,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,55%,3.67,58.0,497.0,6828.0,8.51,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,60%,4.54,72.0,573.0,7314.0,7.94,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,65%,5.51,88.0,641.0,7754.0,7.31,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,70%,6.49,103.0,724.0,8202.0,7.04,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,75%,7.59,120.0,803.0,8631.0,6.68,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,80%,8.84,140.0,883.0,9046.0,6.32,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,85%,10.16,160.0,963.0,9441.0,6.02,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,90%,11.58,182.0,1043.0,9824.0,5.73,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,95%,13.13,206.0,1123.0,10191.0,5.45,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,100%,14.73,230.0,1202.0,10539.0,5.22,47.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,40%,15.22,821.0,8690.0,1622.0,10.58,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,42%,17.58,949.0,9622.0,1702.0,10.14,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,44%,20.1,1085.0,10549.0,1781.0,9.72,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,46%,22.73,1227.0,11494.0,1856.0,9.37,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,48%,25.82,1393.0,12540.0,1938.0,9.0,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,50%,29.03,1566.0,13591.0,2014.0,8.68,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,52%,32.59,1759.0,14648.0,2089.0,8.33,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,54%,36.39,1963.0,15704.0,2162.0,8.0,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,56%,40.02,2159.0,16694.0,2230.0,7.73,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,58%,43.92,2370.0,17880.0,2304.0,7.55,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,60%,48.43,2613.0,18989.0,2377.0,7.27,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,62%,53.27,2874.0,20194.0,2446.0,7.03,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,64%,58.09,3133.0,21371.0,2514.0,6.82,110.0
